BARRIO,COMUNA
AGRONOMIA,15
ALMAGRO,5
BALVANERA,3
BARRACAS,4
BELGRANO,13
BOCA,4
BOEDO,5
CABALLITO,6
CHACARITA,15
COGHLAN,12
COLEGIALES,13
CONSTITUCION,1
FLORES,7
FLORESTA,10
LINIERS,9
MATADEROS,9
MONSERRAT,1
MONTE CASTRO,10
NUEVA POMPEYA,4
NUÃ‘EZ,13
PALERMO,14
PARQUE AVELLANEDA,9
PARQUE CHACABUCO,7
PARQUE CHAS,15
PARQUE PATRICIOS,4
PATERNAL,15
PUERTO MADERO,1
RECOLETA,2
RETIRO,1
SAAVEDRA,12
SAN CRISTOBAL,3
SAN NICOLAS,1
SAN TELMO,1
VELEZ SARSFIELD,10
VERSALLES,10
VILLA CRESPO,15
VILLA DEL PARQUE,11
VILLA DEVOTO,11
VILLA GRAL. MITRE,11
VILLA LUGANO,8
VILLA LURO,10
VILLA ORTUZAR,15
VILLA PUEYRREDON,12
VILLA REAL,10
VILLA RIACHUELO,8
VILLA SANTA RITA,11
VILLA SOLDATI,8
VILLA URQUIZA,12
BARRIO NORTE,2
LAS CAÃ‘ITAS,14
BOTANICO,14
URQUIZA R,12
PARQUE CENTENARIO,5
ABASTO,3
CENTRO,1
SAN NICOLÁS,1
ONCE,3
VILLA GENERAL MITRE,11
CONGRESO,3
PARQUE RIVADAVIA,6
PARQUE LAS HERAS,14
PLAZA SAN MARTIN,1
